,Name,Rating,Score,Release,Budget,Open,Gross
365,What We Do In The Shadows,R,96.0,2015-02-13,1600000.0,200108.0,3333000.0
366,Lucky,NR,98.0,,,,
367,Sense and Sensibility,PG,98.0,1996-01-26,16000000.0,3355517.6314038592,43182776.0
368,The Edge of Seventeen,R,95.0,2016-11-18,9000000.0,4754215.0,14260193.0
369,Moonrise Kingdom,PG13,93.0,2012-06-29,16000000.0,522996.0,45512466.0
370,We Are the Best!,NR,97.0,2014-06-20,,17664.0,180222.0
371,Brazil,R,98.0,1985-12-18,15000000.0,30099.0,9929135.0
372,Repo Man,R,98.0,1984-03-02,1500000.0,95300.0,3569083.0
373,Enough Said,PG13,95.0,2013-10-11,8000000.0,232800.0,17536788.0
374,Lost In Translation,R,95.0,2003-10-03,4000000.0,167255.0,44585453.0
375,The Truman Show,PG,94.0,1998-06-05,60000000.0,31542121.0,125618201.0
376,Broadcast News,R,98.0,1987-12-25,20000000.0,197542.0,51249404.0
377,Manhattan,R,96.0,2011-05-06,150000000.0,3319303.16135713,181030624.0
378,Say Anything...,PG13,98.0,1989-04-14,,,20781385.0
379,Le Havre,PG,99.0,2011-09-08,2760450.2760450277,26363.0,611709.0
380,Groundhog Day,PG,96.0,1993-02-12,14600000.0,14652108.0,70906973.0
381,Hairspray,PG,98.0,2007-07-20,75000000.0,994803.0730331616,118871849.0
382,The Disaster Artist,R,95.0,2017-12-08,,,
383,Man on Wire,PG13,100.0,2008-08-29,549752.6113249038,51392.0,2957978.0
384,I Am Not Your Negro,PG13,98.0,2017-02-17,,686378.0,7120626.0
385,Life Itself,R,97.0,,,,
386,20 Feet From Stardom,PG13,99.0,2013-07-26,1000000.0,54596.0,4946445.0
387,The Last Waltz,PG,98.0,1978-04-26,,16151.0,321952.0
388,Weiner,R,97.0,2016-05-26,,84173.0,1612203.0
389,Taxi to the Dark Side,R,100.0,2009-01-23,1000000.0,13656.0,274661.0
390,City of Ghosts,R,99.0,2017-07-21,,8304.0,128015.0
391,Blackfish,PG13,98.0,2013-10-18,,75962.0,2063312.0
392,Murderball,R,98.0,2005-08-05,1750211.0,57286.0,1523883.0
393,Kedi,NR,98.0,2017-02-10,,40103.0,2834262.0
394,Cameraperson,NR,99.0,2017-01-27,,12760.0,101074.0
395,Jodorowsky's Dune,PG13,98.0,2016-03-16,,36018.0,646512.0
396,Jane,PG,99.0,2017-10-05,,58348.0,1179919.0
397,Deliver Us from Evil,NR,100.0,2014-07-02,30000000.0,9740471.0,30577122.0
398,Inside Job,PG13,98.0,2010-11-12,2000000.0,39649.0,4312735.0
399,Anvil! The Story of Anvil,NR,98.0,2009-02-20,,34651.0,666659.0
400,Whose Streets?,R,99.0,2017-08-11,,43804.0,182799.0
401,The Missing Picture,NR,99.0,2014-03-19,,10148.0,52164.0
402,Seymour: An Introduction,PG,100.0,2015-09-10,,26587.0,580000.0
403,The Square ,NR,100.0,2014-01-10,1500000.0,16359.0,124244.0
404,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,NR,100.0,2017-01-07,,,
405,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,PG13,98.0,2004-03-05,,41449.0,4193943.0
406,Spellbound,G,98.0,1945-12-28,1696377.0,,7000000.0
407,The Work,NR,100.0,2017-09-08,,3286.0,5853.0
408,Hoop Dreams,PG13,98.0,1994-10-14,700000.0,,7830611.0
409,O.J.: Made in America,NR,100.0,2016-08-04,,,
410,Mr. Death: The Rise and Fall of Fred A. Leuchter Jr.,PG13,100.0,2000-01-14,,24125.0,495318.0
411,Dawson City: Frozen Time,NR,100.0,2016-10-02,,15922.0,130526.0
412,Citizenfour,R,96.0,2014-11-28,,193957.0,2800870.0
413,The Interrupters,NR,99.0,2011-08-12,,3557.0,282448.0
414,How to Survive a Plague,NR,99.0,2013-11-08,,28250.0,132055.0
415,3 And 1/2 Minutes 10 Bullets,NR,100.0,2015-10-02,,396.0,21108.0
416,Iris,PG13,98.0,2016-11-16,,,
417,The Act Of Killing,NR,96.0,2012-11-08,1000000.0,27450.0,486919.0
418,Sound City,NR,100.0,2013-01-18,,62842.0,422417.0
419,The Invisible War,NR,99.0,2012-01-20,,,71968.0
420,Capturing the Friedmans,R,97.0,2003-07-18,,65154.0,3117985.0
421,Kurt Cobain: Montage Of Heck,NR,98.0,2015-05-04,,,
422,Everyday Sunshine: The Story of Fishbone,NR,100.0,2010-06-01,,,
423,We Were Here,NR,100.0,2011-09-01,,,
424,Heart of a Dog,NR,98.0,2016-03-01,,13893.0,418571.0
425,Enron: The Smartest Guys in the Room,R,97.0,2005-05-20,,,
426,Bill Cunningham New York,NR,99.0,2011-03-16,,33677.0,1510026.0
427,Bowling for Columbine,R,96.0,2002-11-15,4000000.0,209148.0,21244913.0
428,When We Were Kings,PG,98.0,1997-02-14,,,2666118.0
429,Listen To Me Marlon,NR,97.0,2015-07-29,,38080.0,426130.0
430,The Overnighters,PG13,98.0,2014-10-31,,4324.0,108814.0
431,Elaine Stritch: Shoot Me,NR,98.0,2013-04-19,,27853.0,303100.0
432,56 Up,NR,98.0,2012-05-14,,22088.0,701278.0
433,Hitchcock/Truffaut,PG13,96.0,2016-03-31,,28178.0,304899.0
434,March of the Penguins,G,94.0,2005-07-22,8000000.0,65268.0,77437223.0
435,The King of Kong: A Fistful of Quarters,PG13,97.0,2008-02-28,,51493.0,677914.0
436,West of Memphis,R,96.0,2012-11-22,,13360.0,309864.0
437,The War Tapes,NR,98.0,2006-04-29,,2753.0,254190.0
438,Cave of Forgotten Dreams,G,96.0,2011-08-31,,139101.0,5234785.0
439,Dina,NR,98.0,1984-12-14,40000000.0,,30925690.0
440,Ingrid Bergman in Her Own Words ,NR,98.0,2015-08-28,,8355.0,137927.0
441,Winged Migration,G,96.0,2003-08-29,,58946.0,10762178.0
442,Trophy,NR,98.0,2017-09-08,,3522.0,21439.0
443,The Last Laugh,NR,98.0,1925-01-05,,,
444,Ai Weiwei: Never Sorry,R,97.0,2012-06-14,,41104.0,485519.0
445,Beware Of Mr. Baker,NR,98.0,2013-05-17,,12195.0,114271.0
446,Jafar Panahi's Taxi,NR,96.0,2015-04-15,,166.0,321642.0
447,Undefeated,PG13,96.0,2012-08-03,,33165.0,562218.0
448,The Beatles: Eight Days a Week - The Touring Years,NR,96.0,2016-09-16,,615632.0,2930414.0
449,Marwencol,NR,98.0,2018-11-21,,,
450,Finders Keepers,R,98.0,2014-10-18,,,
451,Mea Maxima Culpa: Silence In The House Of God,NR,98.0,2012-11-16,1000000.0,,
452,Blindsight,PG,98.0,2008-08-08,105000.0,7127.0,88283.0
453,Red Army,PG,96.0,2015-01-29,,20100.0,694600.0
454,The Devil Came on Horseback,NR,98.0,2008-04-11,,11143.0,132309.0
455,The Island President,PG,98.0,2012-03-30,,13998.0,75233.0
456,Sicko,PG13,92.0,2007-07-03,9000000.0,68969.0,24540079.0
457,For the Bible Tells Me So,PG13,98.0,2007-10-05,,9438.0,309123.0
458,Welcome To Leith,NR,98.0,2015-12-15,,3707.0,36010.0
459,Let The Fire Burn,NR,98.0,2013-10-02,,5226.0,59033.0
460,Almost Holy ,R,98.0,2016-05-20,,4195.0,11738.0
461,Call Me Kuchu,NR,98.0,2013-06-14,,571.0,8941.0
462,Restrepo,R,96.0,2010-08-06,,35581.0,1330894.0
463,Surfwise,R,98.0,2008-05-09,127000.0,10304.0,268560.0
464,Born To Be Wild,G,98.0,1997-07-02,,2875117.0,7324662.0
465,The Life and Times of Hank Greenberg,PG,97.0,2000-07-21,,14371.0,1703901.0
466,The Life of Reilly,NR,98.0,2006-03-12,,2798.0,38306.0
467,Chavez: Inside the Coup,NR,98.0,2003-09-12,,,
468,Exit Through The Gift Shop,R,96.0,2010-05-14,,170756.0,3291250.0
469,The Godfather,R,99.0,1972-03-24,6000000.0,5555.3424131977745,134966411.0
470,Moonlight,R,98.0,2016-11-18,1500000.0,1488740.0,27850912.0
471,Spotlight,R,97.0,2015-11-20,20000000.0,295009.0,45055776.0
472,Boyhood,R,97.0,2014-08-15,4000000.0,,25379975.0
473,12 Years a Slave,R,96.0,2013-11-08,20000000.0,923715.0,56671993.0
474,Gravity,PG13,96.0,2013-10-04,100000000.0,,274092705.0
475,The Maltese Falcon,PG,100.0,1941-10-18,375000.0,,
476,Selma,PG13,99.0,2015-01-09,20000000.0,11307394.0,52076908.0
477,Taxi Driver,R,99.0,1976-02-08,1300000.0,,28262574.0
478,Argo,R,96.0,2012-10-12,44500000.0,19458109.0,136025503.0
479,Arrival,PG13,94.0,2016-11-11,47000000.0,24000000.0,100546139.0
480,Hell or High Water,R,98.0,2016-08-26,12000000.0,621329.0,26862450.0
481,Alien,R,97.0,1979-06-22,11000000.0,,78900000.0
482,Bicycle Thieves ,NR,98.0,1949-12-13,133000.0,25010.0,332930.0
483,The Night of the Hunter,PG,98.0,1955-11-24,795000.0,,
484,The Babadook,NR,98.0,2014-11-28,2000000.0,559147.0,924279.0
485,Manchester by the Sea,R,95.0,2016-12-16,8500000.0,4223828.0,47695120.0
486,The Wrestler,R,98.0,2009-01-30,6000000.0,202714.0,26236603.0
487,L.A. Confidential,R,99.0,1997-09-19,35000000.0,5211198.0,64616940.0
488,Brooklyn,PG13,96.0,2015-11-25,11000000.0,187281.0,38317535.0
489,The Godfather Part II,R,97.0,1974-12-20,13000000.0,,57300000.0
490,Creed,PG13,95.0,2015-11-25,35000000.0,29632823.0,109767581.0
491,Whiplash,R,94.0,2014-10-15,3300000.0,135388.0,13092000.0
492,The Social Network,PG13,96.0,2010-10-01,40000000.0,22445653.0,96962694.0
493,Room,R,94.0,2016-01-22,13000000.0,1335563.0,14677654.0
494,Nightcrawler,R,95.0,2014-10-31,8500000.0,10900000.0,32381218.0
495,Short Term 12,R,99.0,2013-08-23,,56206.0,1010414.0
496,Carol,R,94.0,2016-01-15,11800000.0,253510.0,12711491.0
497,Mud,PG13,98.0,2013-05-10,10000000.0,2215460.0,21590086.0
498,Mr. Turner,R,97.0,2014-10-31,5125320.332520782,109000.0,3958546.0
499,Double Indemnity,NR,96.0,1944-07-06,927262.0,,5720000.0
500,It Follows,R,97.0,2015-03-27,2000000.0,160089.0,14673301.0
501,Pan's Labyrinth,R,95.0,2007-01-19,10410240.592227021,1545313.0,37634615.0
502,Evil Dead 2: Dead by Dawn,R,98.0,1987-03-13,3600000.0,807260.0,5923044.0
503,The Witch,R,91.0,2016-02-19,3500000.0,8800230.0,25138292.0
504,The Cabin in the Woods,R,92.0,2012-04-13,30000000.0,14743614.0,42073277.0
505,The Silence of the Lambs,R,95.0,1991-02-14,19000000.0,13766814.0,130742922.0
506,The Innocents,NR,96.0,2016-02-10,5346640.527535198,127112.0,1063893.0
507,A Girl Walks Home Alone at Night,NR,96.0,2015-04-20,,,
508,Cat People,R,93.0,1982-04-02,18000000.0,1617636.0,7000000.0
509,Drag Me to Hell,PG13,92.0,2009-05-29,30000000.0,1180526.608910891,42100625.0
510,The Evil Dead,R,95.0,1983-04-15,350000.0,,2400000.0
511,Carrie,R,93.0,1976-11-16,1800000.0,,33800000.0
512,Young Frankenstein,PG,93.0,1974-12-15,2800000.0,,86300000.0
513,Halloween,R,93.0,2018-10-19,,,
514,The Loved Ones,R,98.0,2010-11-04,,,
515,It,R,85.0,2017-09-08,35000000.0,,327235912.0
516,Nosferatu: Phantom der Nacht ,PG,94.0,1979-01-17,,,
517,Room 237,NR,94.0,2012-10-26,,29693.0,259765.0
518,The Love Witch,NR,95.0,2017-03-10,,37607.0,228894.0
519,Green Room,R,90.0,2016-05-13,5000000.0,87984.0,3219029.0
520,Re-Animator,R,94.0,1985-10-18,900000.0,543728.0,2023414.0
521,Train to Busan ,NR,95.0,2016-07-20,8754037.79993522,284776.0,2129768.0
522,A Nightmare on Elm Street,R,94.0,1984-11-16,1800000.0,1271000.0,25504513.0
523,The Host,R,93.0,2013-03-29,40000000.0,,26627201.0
524,Shaun of the Dead,R,92.0,2004-09-24,2218401.641617215,1603410.0,13542874.0
525,Dracula,NR,91.0,1992-11-13,40000000.0,30521679.0,82522790.0
526,Zombieland,R,90.0,2009-10-02,23600000.0,24733155.0,75590286.0
527,Suspiria,R,93.0,2018-01-01,,,
528,It Comes At Night,R,88.0,2017-06-09,5000000.0,5988370.0,13985117.0
529,What Ever Happened to Baby Jane?,NR,92.0,1963-01-01,980000.0,,
530,Eraserhead,R,91.0,1978-02-03,20000.0,,7000000.0
531,Raw,R,90.0,2017-03-15,3292568.203198495,48468.0,508425.0
532,Dawn of the Dead,R,93.0,2004-03-19,26000000.0,26722575.0,59020957.0
533,Phantom Of The Opera,NR,91.0,1925-11-15,,,720861.0
534,The Fly,R,91.0,1986-08-15,15000000.0,7007423.0,40456565.0
535,We Are Still Here,NR,95.0,2015-12-08,,,
536,The Wicker Man,R,90.0,1974-08-07,210419.99831664003,5493.0,60891.0
537,The Texas Chainsaw Massacre,R,88.0,1974-10-04,300000.0,,30859000.0
538,Don't Breathe,R,87.0,2016-08-26,9900000.0,26411706.0,89210468.0
539,Little Shop of Horrors,PG13,90.0,1986-12-19,25000000.0,3659884.0,38747385.0
540,The Blair Witch Project,R,87.0,1999-07-30,60000.0,29207381.0,140539099.0
541,The Shining,R,87.0,1980-06-13,19000000.0,622337.0,44017374.0
542,An American Werewolf in London,R,90.0,1981-08-21,10000000.0,3786512.0,30565292.0
543,The Exorcist,R,86.0,2016-09-23,,,
544,The Conjuring,R,86.0,2013-07-19,20000000.0,41855326.0,137400141.0
545,The Dead Zone,R,90.0,1983-10-21,10000000.0,4556083.0,20766000.0
546,Misery,R,89.0,1990-11-30,20000000.0,10076834.0,61276872.0
547,Let Me In,R,87.0,2010-10-01,20000000.0,5147479.0,12134420.0
548,Poltergeist,PG,88.0,1982-06-04,10700000.0,6896612.0,76606280.0
549,28 Days Later,R,87.0,2003-06-27,8000000.0,2401663.0,45064915.0
550,Cronos,R,90.0,1994-05-01,2000000.0,,621392.0
551,Bone Tomahawk,NR,90.0,2016-02-19,1800000.0,,
552,The Orphanage,R,87.0,2008-01-11,2299316.967606682,5247378.0,7161284.0
553,Near Dark,R,88.0,1988-01-01,5000000.0,,3369307.0
554,Gerald's Game,NR,90.0,2017-09-29,,,
555,Donnie Darko: The Director's Cut,R,91.0,2001-10-26,4500000.0,23871.763255240443,194220.0
556,Henry: Portrait of a Serial Killer,NC17,86.0,1990-09-07,111000.0,,609939.0
557,Russian Ark,G,89.0,2003-04-19,,29022.0,37439.0
558,Chronicle,PG13,85.0,2012-02-03,12000000.0,1389867.5454718296,64575175.0
559,Goodnight Mommy,R,86.0,2015-09-11,,57252.0,1168902.0
560,The Descent,R,85.0,2006-08-04,1832652.6337836424,570850.0,26024456.0
561,The Omen,R,86.0,1976-06-25,2800000.0,4273886.0,4273886.0
562,Exorcist: The Version You've Never Seen,R,88.0,2000-09-23,,,
563,Slither,R,86.0,2006-03-31,15500000.0,3880270.0,7774730.0
564,Ginger Snaps,R,89.0,2001-05-11,5000000.0,19079.494956619877,2554.0
565,This Is the End,R,82.0,2013-06-12,32000000.0,20719162.0,101470202.0
566,A Field in England,NR,88.0,2013-07-05,211938.2964453387,9498.0,30716.0
567,Altered States,R,86.0,1980-12-25,,174650.0,19853892.0
568,The Autopsy of Jane Doe,R,87.0,2016-12-21,,251128.0,
569,Spring,NR,88.0,2015-03-20,,19675.0,48949.0
570,Grindhouse,R,83.0,2007-04-06,53000000.0,11596613.0,25031037.0
571,Gremlins,PG,84.0,1984-06-08,11000000.0,12511000.0,148170000.0
572,Backcountry,R,88.0,2015-03-20,,,
573,Paranormal Activity,R,83.0,2009-10-16,15000.0,19617650.0,107918810.0
574,The Thing,R,83.0,1982-06-25,15000000.0,3107897.0,13782838.0
575,We Are What We Are,R,86.0,2013-10-25,,13727.0,76633.0
576,The House of the Devil,R,86.0,2012-05-04,900000.0,25195.0,100659.0
577,Dracula: Pages From a Virgin's Diary,NR,87.0,2003-12-12,1216730.0380228139,4784.0,39659.0
578,E.T. The Extra-Terrestrial,PG,98.0,1982-06-11,10500000.0,14223110.0,435110554.0
579,My Fair Lady,G,96.0,1964-12-25,17000000.0,,72000000.0
580,Hugo,PG,94.0,2011-11-23,150000000.0,1321700.0074923204,73864507.0
581,The Straight Story,G,96.0,1999-11-03,10000000.0,92312.0,6203044.0
582,Enchanted,PG,93.0,2007-11-21,85000000.0,34440317.0,127807262.0
583,Queen of Katwe,PG,93.0,2016-09-30,15000000.0,304933.0,8805918.0
584,Harry Potter and the Prisoner of Azkaban,PG,91.0,2004-06-04,130000000.0,1517007.0,249358727.0
585,A Monster Calls,PG13,87.0,2017-01-06,43000000.0,30909.0,3730982.0
586,The Secret of Roan Inish,PG,95.0,1995-02-03,3000000.0,,6101600.0
587,Jason and the Argonauts,G,93.0,1963-06-19,1000000.0,,
588,Spy Kids,PG,93.0,2001-03-30,35000000.0,799738.548273432,112719001.0
589,How Green Was My Valley,NR,90.0,1942-04-09,1250000.0,,
590,Harry Potter and the Goblet of Fire,PG13,88.0,2005-11-18,150000000.0,8709337.493439086,290013036.0
591,That Thing You Do!,PG,93.0,1996-10-04,26000000.0,6208595.0,25809813.0
592,L'Heure d'été ,NR,93.0,2009-06-05,3145103.6454610433,58229.0,1641025.0
593,Pete's Dragon,PG,87.0,2016-08-12,65000000.0,773284.9982098102,76204454.0
594,First Position,NR,93.0,2012-08-10,,48024.0,1100000.0
595,Lassie,PG,93.0,1954-09-12,,,
596,Willy Wonka and the Chocolate Factory,G,90.0,2004-05-16,,,
597,Duma,PG,93.0,2005-05-27,12000000.0,105422.0,860002.0
598,A Christmas Story,PG,89.0,1983-11-18,3300000.0,2072473.0,19294144.0
599,The Sound of Music,G,86.0,1965-03-29,8200000.0,,163214286.0
600,Harry Potter and the Half-Blood Prince,PG,84.0,2009-07-15,250000000.0,12035357.381835878,301959197.0
601,Pee-wee's Big Adventure,PG,89.0,1985-08-09,6000000.0,99184.0,40900000.0
602,The Muppet Movie,G,88.0,1979-06-22,,,76657000.0
603,Millions,PG,87.0,2005-04-29,,70224.0,6583149.0
604,Freaky Friday,PG,88.0,2003-08-06,26000000.0,22203007.0,110230332.0
605,The Karate Kid,PG,88.0,1984-06-22,8000000.0,5031753.0,90815558.0
606,Cinderella,PG,84.0,2015-03-13,95000000.0,2611209.0,201151353.0
607,Disneynature Bears,G,89.0,2014-04-04,,,
608,Once,R,97.0,2007-06-15,134680.13468013468,36945.0,9439923.0
609,West Side Story,PG,94.0,1961-12-23,6000000.0,,43656822.0
610,What's Love Got To Do With It?,R,96.0,1993-06-25,15000000.0,1071342.536202463,39100956.0
611,Nashville,R,94.0,2012-01-01,,,
612,Wordplay,PG,95.0,2006-07-21,,32847.0,3117666.0
613,Muscle Shoals,PG,96.0,2013-10-25,,13901.0,695625.0
614,Marley,PG13,95.0,2012-04-20,,262004.0,1412124.0
615,Love & Mercy,PG13,91.0,2015-06-19,10000000.0,2122177.0,12547189.0
616,Les Plages d'Agnès ,NR,96.0,2008-12-17,,2948.0,239711.0
617,Searching for Sugar Man,PG13,94.0,2012-07-26,,27459.0,3965090.0
618,20000 Days on Earth,NR,95.0,2014-11-18,,27879.0,277770.0
619,Festival Express,R,96.0,2004-04-29,,12074.0,1172345.0
620,Born Into Brothels,R,95.0,2005-03-11,,10580.0,3410863.0
621,Crumb,R,95.0,1995-04-28,,,3174695.0
622,The Full Monty,R,95.0,1997-09-19,3500000.0,2914175.0,45950122.0
623,Pina,PG,95.0,2011-02-24,2347730.897491663,488640.0,3524826.0
624,Crazy Heart,R,91.0,2010-02-05,7000000.0,82664.0,39462438.0
625,Funny Girl,G,93.0,1968-09-19,14100000.0,65560.0,223306.0
626,49 Up,NR,95.0,2005-09-15,,36364.0,238073.0
627,Lagaan: Once Upon a Time in India,PG,95.0,2002-05-08,6000000.0,62809.46810706668,70147.0
628,Lost in La Mancha,R,94.0,2002-08-02,,42824.0,734514.0
629,My Kid Could Paint That,PG13,94.0,2007-12-14,,26290.0,231274.0
630,End of the Century: The Story of the Ramones,NR,95.0,2004-11-27,,18422.0,391950.0
631,Hedwig and the Angry Inch,R,93.0,2001-08-31,6000000.0,156724.0,3029081.0
632,The Wrecking Crew,PG,94.0,1968-12-25,,,
633,Marina Abramovic: The Artist Is Present,NR,95.0,2012-07-05,,11041.0,86217.0
634,Dave Chappelle's Block Party,R,92.0,2006-03-03,3000000.0,6214723.0,11694528.0
635,Presenting Princess Shaw,NR,95.0,2016-05-27,,8775.0,60197.0
636,The Filth and the Fury,R,95.0,2000-05-12,,13305.0,606643.0
637,The Sapphires,PG13,91.0,2012-08-09,10000000.0,38372.0,2448455.0
638,Los Angeles Plays Itself,NR,95.0,2004-01-01,,,
639,U2 3D,G,93.0,2008-02-22,,964315.0,10353690.0
640,Straight Outta Compton,R,87.0,2015-08-14,28000000.0,56100000.0,161197785.0
641,A Band Called Death,NR,94.0,2013-06-28,,34839.0,125856.0
642,My Architect,NR,93.0,2003-11-12,,37929.0,2748981.0
643,Florence Foster Jenkins,PG13,87.0,2016-08-12,29000000.0,6601313.0,27370107.0
644,Every Little Step,PG13,92.0,2009-06-12,,68504.0,1724351.0
645,Sunshine on Leith,PG,93.0,2013-10-04,,770239.0,
646,Scratch,R,93.0,2015-01-01,,,
647,F for Fake,PG,88.0,1975-03-12,,,
648,Ballets Russes,NR,92.0,2006-04-19,,40199.0,815848.0
649,Sweeney Todd: The Demon Barber of Fleet Street,R,86.0,2007-12-21,50000000.0,13635390.0,52898073.0
650,Shine,PG13,91.0,1997-02-14,5500000.0,162179.0,35811509.0
651,Standing in the Shadows of Motown,PG,91.0,2002-11-29,,114442.0,1600547.0
652,Chicago,PG13,86.0,2003-01-24,45000000.0,69476.71568627452,170687518.0
653,Five Easy Pieces,R,87.0,1971-02-19,1600000.0,,
654,Neil Young: Heart of Gold,PG,90.0,2006-05-11,,53908.0,1827544.0
655,Sid and Nancy,R,87.0,1986-11-07,4000000.0,,2826523.0
656,Mistaken for Strangers,G,91.0,2014-03-28,,87743.0,137460.0
657,Buena Vista Social Club,G,91.0,1999-06-04,,127370.0,6997620.0
658,Topsy-Turvy,R,89.0,2000-02-11,6280223.575959304,32718.0,6201757.0
659,The Devil and Daniel Johnston,PG13,89.0,2006-05-05,,23192.0,332261.0
660,Caesar Must Die,NR,91.0,2012-03-02,,,
661,Who Killed the Electric Car?,PG,89.0,2006-08-04,1000000.0,45138.0,1677838.0
662,Metallica: Some Kind of Monster,R,89.0,2004-07-30,,46359.0,1222708.0
663,Born To Be Blue,R,88.0,2016-03-30,,46184.0,830129.0
664,The Punk Singer,NR,90.0,2013-03-10,,24729.0,121418.0
665,Saturday Night Fever,R,87.0,1977-12-16,3000000.0,3878099.0,94213184.0
666,Dig!,R,90.0,2005-04-13,,20437.0,127067.0
667,Beats Rhymes & Life: The Travels of a Tribe Called Quest,R,90.0,2012-01-19,,111982.0,1200046.0
668,High Noon,PG,96.0,1952-07-30,730000.0,,9450000.0
669,Strangers on a Train,PG,98.0,1951-06-30,1200000.0,,7630000.0
670,The Conversation,PG,98.0,1974-06-01,1600000.0,,4420000.0
671,Eye In The Sky,R,95.0,2016-04-01,13000000.0,113803.0,18700837.0
672,Blood Simple,R,94.0,1985-01-18,1500000.0,42971.0,2150000.0
673,Bridge of Spies,PG13,91.0,2015-10-16,40000000.0,15371203.0,72313754.0
674,The Crying Game,R,97.0,1993-02-19,1583476.764199656,101107.0,62549000.0
675,The Imitation Game,PG13,91.0,2014-12-25,14000000.0,1423274.0,91125683.0
676,Wake in Fright,R,100.0,1971-10-09,,6761.0,50394.0
677,Ex Machina,R,92.0,2015-04-24,15000000.0,30733.0,25442958.0
678,Blue Ruin,R,96.0,2014-07-09,1066167.0,32608.0,258113.0
679,10 Cloverfield Lane,PG13,90.0,2016-03-11,15000000.0,24702752.0,71897215.0
680,In the Heat of the Night,G,96.0,1967-10-25,2000000.0,,24379978.0
681,To Catch a Thief,PG,95.0,1955-08-05,2500000.0,,8750000.0
682,Blue Velvet,R,94.0,1986-10-23,6000000.0,789409.0,8551228.0
683,Children of Men,R,92.0,2007-01-05,76000000.0,665244.2372442372,35552383.0
684,Wild Tales,R,95.0,2014-08-21,3300000.0,85100.0,3107072.0
685,Diabolique ,NR,95.0,1992-06-29,,,
686,Mission: Impossible Ghost Protocol,PG13,93.0,2011-12-01,,,
687,Gone Girl,R,87.0,2014-10-03,61000000.0,,167767189.0
688,The Dark Knight Rises,PG13,87.0,2012-07-20,250000000.0,9189023.032629559,448139099.0
689,Beauty and The Beast ,NR,95.0,2017-03-17,160000000.0,6445619.996276299,504014165.0
690,Call Me by Your Name,R,98.0,2017-11-24,,412932.0,626895.0
691,Her,R,94.0,2014-01-10,23000000.0,260382.0,25568251.0
692,The Hustler,NR,98.0,1961-10-27,2000000.0,,
693,Slumdog Millionaire,R,92.0,2008-12-25,15000000.0,360018.0,141319928.0
694,The Shape of Water,R,95.0,2017-12-08,19400000.0,,
695,Titanic,PG13,88.0,1997-12-19,200000000.0,4855880.551301684,658672302.0
696,Shakespeare in Love,R,92.0,1999-01-08,25000000.0,4224426.0,100317794.0
697,Up in the Air,R,91.0,2009-12-23,25000000.0,68923.25315005727,83823381.0
698,Eternal Sunshine Of The Spotless Mind,R,93.0,2004-03-19,20000000.0,8175198.0,34400301.0
699,Before Sunset,R,95.0,2004-07-30,2700000.0,56995.0,5792822.0
700,The Graduate,PG,91.0,1967-12-22,3000000.0,873.0,104945305.0
701,The Lunchbox,PG,96.0,2013-09-20,1000000.0,44542.0,4231500.0
702,Four Weddings and a Funeral,R,95.0,1994-04-15,4400000.0,,52700832.0
703,The Town,R,93.0,2010-09-17,37000000.0,23808032.0,92186262.0
704,A Summer's Tale,G,98.0,2014-06-20,,11000.0,196927.0
705,Midnight in Paris,PG13,93.0,2011-06-10,17000000.0,729860.7727114514,56816662.0
706,From Here to Eternity,G,92.0,1953-08-28,1650000.0,,30500000.0
707,About a Boy,PG13,94.0,2002-05-17,30000000.0,5436425.0,41385278.0
708,Big Night,R,96.0,1996-09-20,4100000.0,185942.0,11881039.0
709,Million Dollar Baby,PG13,91.0,2005-01-28,30000000.0,179953.0,100492203.0
710,Revanche,NR,96.0,2008-05-16,,,
711,Hamlet,PG13,95.0,1996-12-25,18000000.0,148321.0,4414535.0
712,Monsoon Wedding,R,95.0,2002-04-26,142886.30332720964,130466.0,13876974.0
713,Out of Sight,R,93.0,1998-06-26,48000000.0,12020435.0,37562568.0
714,Hannah and Her Sisters,PG13,93.0,1986-03-14,6400000.0,1265826.0,40084041.0
715,Dave,PG13,94.0,,,,
716,The Spectacular Now,R,92.0,2013-09-13,2500000.0,197415.0,6851969.0
717,Southside With You,PG13,92.0,2016-08-26,1500000.0,2868956.0,6303853.0
718,Knocked Up,R,89.0,2007-06-01,30000000.0,30690990.0,148734225.0
719,Open Hearts ,R,96.0,2002-09-06,,14224.0,122308.0
720,The General,NR,93.0,1927-02-24,750000.0,,
721,Howards End,PG,93.0,2017-01-01,,,
722,Mrs. Brown,PG,94.0,,,,
723,Moonstruck,PG,92.0,1988-01-15,15000000.0,127599.0,80640528.0
724,The Best of Youth ,R,95.0,2003-06-20,,44759.0,254224.0
725,Y Tu Mama Tambien,R,92.0,2002-04-26,2000000.0,408091.0,13622333.0
726,The Duke Of Burgundy,NR,93.0,2015-01-23,1000000.0,13000.0,32630.0
727,Kung Fu Hustle,R,90.0,2005-04-22,20000000.0,3188968.0,17108591.0
728,Obvious Child,R,90.0,2014-08-29,,77315.0,3122616.0
729,Last Resort,PG13,94.0,2012-01-01,,,
730,I'll See You in My Dreams,PG13,93.0,2015-05-15,,516000.0,7425963.0
731,Eat Drink Man Woman ,NR,93.0,1994-08-03,,,7294403.0
